filename,width,height,class,xmin,ymin,xmax,ymax
Image029.jpg,768,492,dock,150,238,328,384
Image213.jpg,768,492,mesh,1,221,768,490
Image010.jpg,768,492,dock,345,275,513,423
Image113.jpg,768,492,dock,344,334,501,492
Image146.jpg,768,492,dock,267,298,461,479
Image088.jpg,768,492,dock,315,220,457,344
Image181.jpg,768,492,dock,305,240,461,373
Image210.jpg,768,492,mesh,1,262,768,491
Image091.jpg,768,492,dock,284,210,491,389
Image128.jpg,768,492,dock,443,237,664,415
Image151.jpg,768,492,dock,317,300,509,484
Image086.jpg,768,492,dock,311,240,461,375
Image001.jpg,768,492,dock,296,326,460,492
Image187.jpg,768,492,dock,256,202,507,416
Image126.jpg,768,492,dock,441,237,633,397
Image011.jpg,768,492,dock,326,278,492,424
Image135.jpg,768,492,dock,379,301,578,487
Image216.jpg,768,492,mesh,2,175,765,492
Image206.jpg,768,492,mesh,2,1,765,131
Image004.jpg,768,492,dock,299,276,464,419
Image071.jpg,768,492,dock,242,283,417,463
Image223.jpg,768,492,mesh,5,72,766,492
Image127.jpg,768,492,dock,440,238,648,405
Image089.jpg,768,492,dock,308,217,464,355
Image025.jpg,768,492,dock,184,238,355,390
Image037.jpg,768,492,dock,134,305,349,492
Image015.jpg,768,492,dock,332,332,490,492
Image174.jpg,768,492,dock,429,280,613,451
Image182.jpg,768,492,dock,307,218,459,350
Image144.jpg,768,492,dock,314,298,504,478
Image108.jpg,768,492,dock,278,294,442,451
Image205.jpg,768,492,mesh,1,362,768,491
Image008.jpg,768,492,dock,360,257,533,399
Image049.jpg,768,492,dock,266,298,454,477
Image067.jpg,768,492,dock,213,301,393,490
Image162.jpg,768,492,dock,374,301,554,488
Image102.jpg,768,492,dock,261,259,426,398
Image157.jpg,768,492,dock,272,298,446,458
Image158.jpg,768,492,dock,305,298,492,477
Image069.jpg,768,492,dock,242,305,420,492
Image209.jpg,768,492,mesh,1,1,768,169
Image098.jpg,768,492,dock,309,295,468,444
Image044.jpg,768,492,dock,224,299,414,478
Image042.jpg,768,492,dock,171,299,371,481
Image084.jpg,768,492,dock,288,263,484,445
Image093.jpg,768,492,dock,232,193,543,458
Image082.jpg,768,492,dock,319,259,450,377
Image142.jpg,768,492,dock,311,298,497,477
Image017.jpg,768,492,dock,284,333,449,492
Image118.jpg,768,492,dock,342,216,500,357
Image122.jpg,768,492,dock,441,239,619,383
Image143.jpg,768,492,dock,316,301,513,492
Image077.jpg,768,492,dock,216,283,378,449
Image022.jpg,768,492,dock,265,239,427,387
Image217.jpg,768,492,mesh,2,173,768,491
Image169.jpg,768,492,dock,310,282,473,451
Image031.jpg,768,492,dock,140,240,327,392
Image141.jpg,768,492,dock,308,298,499,480
Image131.jpg,768,492,dock,396,303,605,492
Image170.jpg,768,492,dock,339,281,498,448
Image059.jpg,768,492,dock,253,297,429,461
Image009.jpg,768,492,dock,343,259,511,399
Image019.jpg,768,492,dock,265,315,425,485
Image198.jpg,768,492,mesh,1,1,767,415
Image208.jpg,768,492,mesh,2,321,768,491
Image200.jpg,768,492,mesh,1,1,768,491
Image199.jpg,768,492,mesh,1,1,768,453
Image096.jpg,768,492,dock,309,328,465,490
Image056.jpg,768,492,dock,257,301,453,485
Image190.jpg,768,492,dock,180,176,577,492
Image039.jpg,768,492,dock,162,302,369,489
Image195.jpg,768,492,mesh,1,1,768,269
Image047.jpg,768,492,dock,271,298,457,478
Image207.jpg,768,492,mesh,1,322,768,491
Image153.jpg,768,492,dock,357,294,540,463
Image115.jpg,768,492,dock,346,278,506,440
Image014.jpg,768,492,dock,326,313,490,474
Image003.jpg,768,492,dock,292,292,461,445
Image167.jpg,768,492,dock,460,280,648,478
Image179.jpg,768,492,dock,283,260,485,442
Image002.jpg,768,492,dock,293,311,460,468
Image063.jpg,768,492,dock,284,299,462,475
Image133.jpg,768,492,dock,420,305,639,492
Image099.jpg,768,492,dock,307,277,471,422
Image090.jpg,768,492,dock,296,213,478,369
Image134.jpg,768,492,dock,398,302,609,490
Image163.jpg,768,492,dock,329,302,505,490
Image161.jpg,768,492,dock,356,299,535,479
Image222.jpg,768,492,mesh,1,78,763,492
Image045.jpg,768,492,dock,248,298,438,480
Image083.jpg,768,492,dock,306,260,465,410
Image180.jpg,768,492,dock,256,264,510,492
Image117.jpg,768,492,dock,343,240,504,380
Image095.jpg,768,492,dock,194,176,585,492
Image018.jpg,768,492,dock,270,333,429,492
Image072.jpg,768,492,dock,125,283,310,474
Image020.jpg,768,492,dock,265,277,424,430
Image046.jpg,768,492,dock,270,299,459,479
Image201.jpg,768,492,mesh,2,403,768,489
Image148.jpg,768,492,dock,219,299,414,483
Image058.jpg,768,492,dock,231,296,407,462
Image021.jpg,768,492,dock,266,258,425,409
Image204.jpg,768,492,mesh,1,360,766,490
Image094.jpg,768,492,dock,213,184,564,487
Image035.jpg,768,492,dock,166,239,369,408
Image105.jpg,768,492,dock,261,276,424,422
Image060.jpg,768,492,dock,278,297,453,461
Image103.jpg,768,492,dock,238,260,405,397
Image107.jpg,768,492,dock,279,294,441,451
Image070.jpg,768,492,dock,245,262,419,433
Image156.jpg,768,492,dock,295,294,470,462
Image132.jpg,768,492,dock,421,304,638,492
Image218.jpg,768,492,mesh,2,1,768,323
Image062.jpg,768,492,dock,321,295,497,460
Image202.jpg,768,492,mesh,3,404,768,491
Image073.jpg,768,492,dock,85,284,279,480
Image048.jpg,768,492,dock,253,301,453,492
Image109.jpg,768,492,dock,277,312,442,474
Image030.jpg,768,492,dock,162,240,330,377
Image028.jpg,768,492,dock,125,239,309,387
Image024.jpg,768,492,dock,242,189,403,334
Image055.jpg,768,492,dock,277,298,464,473
Image005.jpg,768,492,dock,298,258,464,397
Image007.jpg,768,492,dock,340,259,508,398
Image040.jpg,768,492,dock,191,301,391,487
Image191.jpg,768,492,mesh,1,1,768,89
Image149.jpg,768,492,dock,304,298,489,473
Image052.jpg,768,492,dock,332,299,522,482
Image097.jpg,768,492,dock,308,313,468,469
Image013.jpg,768,492,dock,327,295,490,450
Image112.jpg,768,492,dock,322,333,483,492
Image186.jpg,768,492,dock,277,208,488,388
Image220.jpg,768,492,mesh,2,115,763,492
Image092.jpg,768,492,dock,263,202,513,415
Image078.jpg,768,492,dock,188,282,356,457
Image152.jpg,768,492,dock,330,301,532,492
Image227.jpg,768,492,mesh,2,1,765,455
Image215.jpg,768,492,mesh,1,1,761,271
Image194.jpg,768,492,mesh,1,1,762,228
Image054.jpg,768,492,dock,277,297,464,473
Image106.jpg,768,492,dock,278,277,441,424
Image155.jpg,768,492,dock,317,295,491,459
Image136.jpg,768,492,dock,354,301,559,489
Image229.jpg,768,492,mesh,2,2,768,491
Image120.jpg,768,492,dock,412,240,586,390
Image140.jpg,768,492,dock,332,300,521,478
Image166.jpg,768,492,dock,353,281,531,463
Image164.jpg,768,492,dock,353,303,531,492
Image123.jpg,768,492,dock,458,239,646,384
Image224.jpg,768,492,mesh,1,1,766,418
Image080.jpg,768,492,dock,271,267,503,475
Image114.jpg,768,492,dock,343,315,502,483
Image066.jpg,768,492,dock,236,298,414,479
Image034.jpg,768,492,dock,135,237,348,416
Image125.jpg,768,492,dock,438,238,611,376
Image154.jpg,768,492,dock,340,296,514,466
Image175.jpg,768,492,dock,269,265,497,473
Image214.jpg,768,492,mesh,3,221,768,492
Image012.jpg,768,492,dock,328,297,489,448
Image043.jpg,768,492,dock,199,299,393,480
Image173.jpg,768,492,dock,411,280,582,451
